ABUNDANCE
species:  tuna
life stage:  all
population:  GSL
region:  Canada
source:  ICCAT MSE
cited by:  NA
unit:  NA
notes:  NA

year	logmean	logsd
1965	10.663004852219	0.394039187741451
1966	10.6360938356693	0.404007464089512
1967	10.5953097269603	0.409967829693911
1968	10.5504595811636	0.408151224456191
1969	10.5297242233366	0.401215688653618
1970	10.5056732718855	0.404811205051091
1971	10.4449214213218	0.416565340300873
1972	10.3810458870855	0.42716213607254
1973	10.3339799396961	0.432332944414071
1974	10.2299559085111	0.468335133051633
1975	10.1754675546689	0.432568672313852
1976	10.1129050492022	0.40072441744724
1977	10.0123356090773	0.380540818678482
1978	9.91582138771464	0.370045711261048
1979	9.78326063430947	0.409454525979412
1980	9.65438344046857	0.460693401518416
1981	9.49972774835139	0.518933103767137
1982	9.44139824165447	0.536130017351586
1983	9.39719941203804	0.547873334772896
1984	9.3382445171908	0.561947133991194
1985	9.27768574965659	0.563455793207993
1986	9.23513769586213	0.577599087383897
1987	9.22756873283663	0.564192719174549
1988	9.21816815768718	0.576989593893062
1989	9.19042448561321	0.588053585785095
1990	9.12903110971297	0.605827147785168
1991	9.12086057116102	0.604630248291468
1992	9.09434290004338	0.585359145918457
1993	9.13260546046412	0.582496069793484
1994	9.11087934050112	0.591013916387532
1995	9.1347991284075	0.606838196264778
1996	9.14534939638105	0.620565374501778
1997	9.14914197012499	0.61667218086289
1998	9.15080265699449	0.612069358765566
1999	9.15325057321087	0.589387673963277
2000	9.14537883771793	0.576765426434234
2001	9.20682102579599	0.569479337742005
2002	9.21770299478067	0.580675434704538
2003	9.16808742798529	0.654803527325471
2004	9.15196019090675	0.705810974755966
2005	9.20237802357578	0.684981636564549
2006	9.2439946797259	0.652821613218316
2007	9.26821451771276	0.631332880983805
2008	9.33180103949895	0.625182166187096
2009	9.39996480329494	0.608701938914916
2010	9.5078551395298	0.595972925694708
2011	9.66309955139232	0.582423472700256
2012	9.7391434473283	0.570344431442005
2013	9.70086799247551	0.56179326265228
2014	9.74835549127374	0.562807474268769
2015	9.84297389962498	0.52498598961835
2016	9.93855481571482	0.466932775538961
2017	9.93836402190974	0.467938302780873
2018	9.95394536383226	0.509506223847172
2019	9.97103259683766	0.524646506619024
